001 ; Лестничная клетка                                                                                                  ;        14,49 ;      16280,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой@Шпатлёвка ж/б плит                                                                ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ;              ; ЗОНА         ; 0                                                                                            ; ЭО     ; Зоны.АР                                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Подвесная система PRELUDE 24                                                                 ; 0      ; Потолки.АР                                        ; Потолок        ; П1  ;         74,3 ;      86580,0 ; 002 ;            1
003 ; Лестничная клетка                                                                                                  ;        17,55 ;      18700,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой@Шпатлёвка ж/б плит                                                                ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ;              ; ЗОНА         ; 0                                                                                            ; ЭО     ; Зоны.АР                                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        135,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,28 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; 0      ; Стены внутренние кирпич.АР                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2600,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         8,58 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; 0      ; Стены наружные кирпич.АР                          ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2600,0 ;       1450,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         5,54 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; 0      ; Стены внутренние кирпич.АР                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       6750,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        22,27 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; 0      ; Стены внутренние кирпич.АР                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       6750,0 ;       2150,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        19,35 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; 0      ; Стены наружные кирпич.АР                          ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; 100 %                                                                                        ; 0      ; Лестницы_конструкция.АР                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
