       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;17,515;п.м.#дерев3,20                        ;      17,515 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;17,680;п.м.#дерев3,20                        ;      17,680 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;17,845;п.м.#дерев3,20                        ;      17,845 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;18,025;п.м.#дерев3,20                        ;      18,025 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;18,175;п.м.#дерев3,20                        ;      18,175 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;18,335;п.м.#дерев3,20                        ;      18,335 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;18,505;п.м.#дерев3,20                        ;      18,505 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;18,675;п.м.#дерев3,20                        ;      18,675 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;18,830;п.м.#дерев3,20                        ;      18,830 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;18,990;п.м.#дерев3,20                        ;      18,990 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;19,155;п.м.#дерев3,20                        ;      19,155 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;19,330;п.м.#дерев3,20                        ;      19,330 ; п.м.#дерев3,20 
      68 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;28,300;п.м.#дерев3,20                        ;    1924,400 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;5,035;п.м.#дерев3,20                         ;       5,035 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;5,120;п.м.#дерев3,20                         ;       5,120 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;5,205;п.м.#дерев3,20                         ;       5,205 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;5,300;п.м.#дерев3,20                         ;       5,300 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;5,380;п.м.#дерев3,20                         ;       5,380 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;5,540;п.м.#дерев3,20                         ;       5,540 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;5,700;п.м.#дерев3,20                         ;       5,700 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;5,860;п.м.#дерев3,20                         ;       5,860 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;6,025;п.м.#дерев3,20                         ;       6,025 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;6,200;п.м.#дерев3,20                         ;       6,200 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;6,355;п.м.#дерев3,20                         ;       6,355 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;6,520;п.м.#дерев3,20                         ;       6,520 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;6,675;п.м.#дерев3,20                         ;       6,675 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;6,845;п.м.#дерев3,20                         ;       6,845 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;7,010;п.м.#дерев3,20                         ;       7,010 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;7,175;п.м.#дерев3,20                         ;       7,175 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;7,340;п.м.#дерев3,20                         ;       7,340 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;7,505;п.м.#дерев3,20                         ;       7,505 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;7,675;п.м.#дерев3,20                         ;       7,675 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;7,830;п.м.#дерев3,20                         ;       7,830 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;8,000;п.м.#дерев3,20                         ;       8,000 ; п.м.#дерев3,20 
