0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       4180,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         6,45 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; Стены наружные кирпич.АР                          ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       6685,0 ;       1000,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        22,06 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; Перегородки кирпич.АР                             ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       7010,0 ;        680,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        23,13 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; Перегородки кирпич.АР                             ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Передний план                                                                                ; Полы.АР                                           ; Пол    ; VII ;         29,0 ;      22380,0 ; 004 ;            1
005 ; Электрощитовая                                                                                                     ;         2,20 ;       7140,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Очистка, шпатлёвка ж/б плит@Окраска краской ВД-КЧ-183 (ГОСТ 28196-89)                                                                                         ; Облицовка керам. плиткой                                                                                    ; Улучшенная окраска краской ВД-ВА-224 (ГОСТ 28196-89)                                                        ; Улучшенная окраска краской ВД-ВА-224 (ГОСТ 28196-89)                                                        ;              ; ЗОНА         ; 0                                                                                            ; Зоны.АР                                           ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        280,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,84 ; СТЕНА        ; Колонна АБК                                                                                  ; Колонны.КЖ                                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        280,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,84 ; СТЕНА        ; Колонна АБК                                                                                  ; Колонны.КЖ                                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        400,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         1,20 ; СТЕНА        ; Колонна АБК                                                                                  ; Колонны.КЖ                                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        830,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         2,74 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; Перегородки кирпич.АР                             ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1020,0 ;        680,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,37 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; Перегородки кирпич.АР                             ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1020,0 ;        800,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         1,43 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; Перегородки кирпич.АР                             ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1040,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,43 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; Перегородки кирпич.АР                             ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2270,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         7,49 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; Перегородки кирпич.АР                             ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Передний план                                                                                ; Полы.АР                                           ; Пол    ; VII ;          2,2 ;       7140,0 ; 005 ;            1
006 ; Кабинет мастера                                                                                                    ;        23,57 ;      22180,0 ;       1400,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Очистка, шпатлёвка ж/б плит@Окраска краской ВД-КЧ-183 (ГОСТ 28196-89)                                                                                         ; Облицовка керам. плиткой                                                                                    ; Улучшенная окраска краской ВД-КЧ-183 (ГОСТ 28196-89)                                                        ; Улучшенная окраска краской ВД-КЧ-183 (ГОСТ 28196-89)                                                        ;              ; ЗОНА         ; 0                                                                                            ; Зоны.АР                                           ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        300,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,90 ; СТЕНА        ; Колонна АБК                                                                                  ; Колонны.КЖ                                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        300,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,90 ; СТЕНА        ; Колонна АБК                                                                                  ; Колонны.КЖ                                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        400,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         1,20 ; СТЕНА        ; Колонна АБК                                                                                  ; Колонны.КЖ                                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        400,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         1,20 ; СТЕНА        ; Колонна АБК                                                                                  ; Колонны.КЖ                                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       3380,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         6,83 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; Стены наружные кирпич.АР                          ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
